"","V1","V2","V3","V4","V5","V6","V7","V8","initiale","err_initiale"
"124",1.866,2.001,1.893,1.92,0.0714352853987438,0.0412431812546025,2015,3,1.01333333333333,0.189032625050104
"125",2.246,2.177,2.593,2.33866666666667,0.222944686712497,0.128717174887857,2015,4,1.24666666666667,0.189032625050104
"126",1.941,2.295,2.045,2.09366666666667,0.181948710721822,0.105048137113949,2015,5,1.08666666666667,0.189032625050104
"127",2.261,2.512,3.617,2.79666666666667,0.721429368222096,0.416517439944329,2015,6,1.09333333333333,0.189032625050104
"128",2.6,2.219,1.965,2.26133333333333,0.319609657759795,0.184526721943222,2015,7,1.20666666666667,0.189032625050104
"129",2.077,2.042,1.709,1.94266666666667,0.203116551106337,0.117269395458112,2015,8,1.08666666666667,0.189032625050104
"130",2.378,3.292,3.047,2.90566666666667,0.473107105562084,0.273148514751794,2015,9,1.19666666666667,0.189032625050104
"131",1.413,1.613,1.613,1.54633333333333,0.115470053837925,0.0666666666666667,2016,0,1.08666666666667,0.189032625050104
"132",2.047,1.426,1.512,1.66166666666667,0.33646743279749,0.194259562899173,2016,1,0.983333333333333,0.189032625050104
"133",1.777,1.772,1.971,1.84,0.113476869889859,0.0655159013777063,2016,2,1.13666666666667,0.189032625050104
"134",2.42,2.574,2.27,2.42133333333333,0.152004385901635,0.087759773118313,2016,3,1.01333333333333,0.189032625050104
"135",2.722,3.018,3.166,2.96866666666667,0.226073734284488,0.130523731345853,2016,4,1.24666666666667,0.189032625050104
"136",2.513,2.36,2.629,2.50066666666667,0.134923435078319,0.0778980815624564,2016,5,1.08666666666667,0.189032625050104
"137",3.229,3.996,3.212,3.479,0.447815810350639,0.258546578653312,2016,6,1.09333333333333,0.189032625050104
"138",3.373,2.957,3.025,3.11833333333333,0.223153161154695,0.128837537663179,2016,7,1.20666666666667,0.189032625050104
"139",2.499,2.376,2.449,2.44133333333333,0.0618573628061636,0.0357133650674989,2016,8,1.08666666666667,0.189032625050104
"140",3.059,2.789,2.964,2.93733333333333,0.136961065027012,0.0790745077618431,2016,9,1.19666666666667,0.189032625050104
"141",1.454,1.537,1.605,1.532,0.0756240702422185,0.04366157731156,2017,0,1.08666666666667,0.189032625050104
"142",1.833,1.984,1.691,1.836,0.146523035731587,0.084595114122113,2017,1,0.983333333333333,0.189032625050104
"143",1.869,1.965,1.773,1.869,0.0960000000000001,0.0554256258422041,2017,2,1.13666666666667,0.189032625050104
"144",2.119,2.637,2.364,2.37333333333333,0.259126095431034,0.149606520951164,2017,3,1.01333333333333,0.189032625050104
"145",3.177,2.662,3.028,2.95566666666667,0.265010062702029,0.153003631038976,2017,4,1.24666666666667,0.189032625050104
"146",3.211,3.172,3.688,3.357,0.287316898215194,0.16588248852727,2017,5,1.08666666666667,0.189032625050104
"147",3.464,4.008,4.17,3.88066666666667,0.369823381269131,0.213517628728351,2017,6,1.09333333333333,0.189032625050104
"148",3.186,3.74,3.06,3.32866666666667,0.361753138664108,0.208858271987915,2017,7,1.20666666666667,0.189032625050104
"149",2.325,2.382,2.596,2.43433333333333,0.142878736463245,0.0824910769585279,2017,8,1.08666666666667,0.189032625050104
"150",3.501,4.818,4.462,4.26033333333333,0.681266712333234,0.393329519755524,2017,9,1.19666666666667,0.547980754170742
